---------------------------------------- Starting hmmbuilder ----------------------------------------

python ../hmmbuilder.py -seqdb /home/nicolas.chevrollier/herbiFun_project/hmmbuilder/datas/mgg_70-15_8.fasta -fasta /home/nicolas.chevrollier/herbiFun_project/hmmbuilder/datas/PP.msa -dir . -ival 1e-3 -cval 1e-3 -identity 0.9

---------------------------------------- Running hmmbuilder iteration 1 ----------------------------------------

Running usearch -sort length -cluster_fast /home/nicolas.chevrollier/herbiFun_project/hmmbuilder/datas/PP.msa -id 0.9 -centroids /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.msa -quiet
Running muscle -in /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.msa -out /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.clw -clw -quiet
Running hmmbuild -o /dev/null -n PP /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.hmm /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.clw
Running hmmsearch -o /dev/null --domtblout /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.domtblout /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.hmm /home/nicolas.chevrollier/herbiFun_project/hmmbuilder/datas/mgg_70-15_8.fasta
Parsing /media/home/nicolas/herbiFun_project/hmmbuilder/datas/PP_hmmbuild_2018-08-14_15-41-31/runs_output/PP-1_nr.domtblout searching for domains meeting the following criteria:
  - envlen >= qlen * 0.0 & dom_cval <= 0.001 & dom_ival <= 0.001 & acc >= 0.6

ACCEPTED -> name: MGG_02351T0_1	cval: 3e-15	ival: 8.3e-13	score: 47.8	acc: 0.96	envlen: 62	alilen: 57	hmmlen: 58	qlen: 70
ACCEPTED -> name: MGG_02351T0_2	cval: 2.7e-19	ival: 7.3e-17	score: 60.8	acc: 0.98	envlen: 69	alilen: 68	hmmlen: 69	qlen: 70
ACCEPTED -> name: MGG_02351T0_3	cval: 2.1e-17	ival: 5.7e-15	score: 54.7	acc: 0.97	envlen: 68	alilen: 66	hmmlen: 68	qlen: 70
ACCEPTED -> name: MGG_02351T0_4	cval: 6.8e-17	ival: 1.9e-14	score: 53.1	acc: 0.97	envlen: 69	alilen: 65	hmmlen: 66	qlen: 70
ACCEPTED -> name: MGG_02351T0_5	cval: 2.7e-18	ival: 7.5e-16	score: 57.6	acc: 0.97	envlen: 69	alilen: 67	hmmlen: 68	qlen: 70
ACCEPTED -> name: MGG_12175T0_1	cval: 5.6e-14	ival: 1.6e-11	score: 43.7	acc: 0.96	envlen: 66	alilen: 65	hmmlen: 69	qlen: 70
ACCEPTED -> name: MGG_12175T0_2	cval: 1.3e-14	ival: 3.5e-12	score: 45.8	acc: 0.96	envlen: 70	alilen: 68	hmmlen: 68	qlen: 70
ACCEPTED -> name: MGG_12175T0_3	cval: 7.5e-17	ival: 2.1e-14	score: 53.0	acc: 0.97	envlen: 69	alilen: 67	hmmlen: 68	qlen: 70
ACCEPTED -> name: MGG_12175T0_4	cval: 1.3e-09	ival: 3.5e-07	score: 29.8	acc: 0.88	envlen: 71	alilen: 68	hmmlen: 67	qlen: 70
ACCEPTED -> name: MGG_12175T0_5	cval: 3.6e-11	ival: 9.8e-09	score: 34.8	acc: 0.94	envlen: 67	alilen: 64	hmmlen: 65	qlen: 70
ACCEPTED -> name: MGG_12175T0_6	cval: 1.1e-13	ival: 3.1e-11	score: 42.8	acc: 0.97	envlen: 68	alilen: 66	hmmlen: 67	qlen: 70
ACCEPTED -> name: MGG_07858T0_1	cval: 1.2e-18	ival: 3.2e-16	score: 58.8	acc: 0.95	envlen: 71	alilen: 70	hmmlen: 69	qlen: 70
ACCEPTED -> name: MGG_07858T0_2	cval: 2.2e-16	ival: 6.1e-14	score: 51.4	acc: 0.96	envlen: 71	alilen: 67	hmmlen: 66	qlen: 70
